Causa de muerte;Sexo;Edad;Periodo;Total
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2014;3.245
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2013;3.042
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2012;3.215
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2011;3.112
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2010;3.019
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2009;3.218
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2008;3.671
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2007;3.592
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2006;3.250
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2005;3.236
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2004;3.135
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2003;3.269
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2002;2.864
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2001;2.773
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;2000;2.569
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1999;2.589
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1998;2.504
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1997;2.570
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1996;3.109
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1995;3.111
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1994;2.881
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1993;2.708
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1992;2.393
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1991;2.132
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1990;2.029
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1989;1.862
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1988;1.579
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1987;1.522
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1986;1.373
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1985;1.334
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1984;1.339
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1983;1.344
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1982;1.282
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1981;1.499
001-008  I.Enfermedades infecciosas y parasitarias;Mujeres;Todas las edades;1980;1.597
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2020;41.837
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2019;3.061
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2018;3.215
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2017;3.286
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2016;3.326
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2015;3.748
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2014;3.263
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2013;3.167
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2012;3.305
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2011;3.286
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2010;3.470
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2009;3.625
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2008;4.041
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2007;4.190
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2006;3.951
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2005;4.257
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2004;4.083
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2003;4.033
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2002;3.872
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2001;3.784
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;2000;3.715
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1999;3.941
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1998;3.849
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1997;4.692
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1996;7.005
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1995;7.027
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1994;6.169
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1993;5.728
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1992;5.094
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1991;4.476
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1990;3.848
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1989;3.223
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1988;2.636
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1987;2.196
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1986;1.990
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1985;2.002
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1984;1.893
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1983;1.931
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1982;2.090
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1981;2.282
001-008  I.Enfermedades infecciosas y parasitarias;Hombres;Todas las edades;1980;2.345
009-041  II.Tumores;Total;Todas las edades;2020;112.741
009-041  II.Tumores;Total;Todas las edades;2019;113.059
009-041  II.Tumores;Total;Todas las edades;2018;112.714
009-041  II.Tumores;Total;Todas las edades;2017;113.266
009-041  II.Tumores;Total;Todas las edades;2016;112.939
009-041  II.Tumores;Total;Todas las edades;2015;111.381
009-041  II.Tumores;Total;Todas las edades;2014;110.278
009-041  II.Tumores;Total;Todas las edades;2013;111.021
009-041  II.Tumores;Total;Todas las edades;2012;110.993
009-041  II.Tumores;Total;Todas las edades;2011;109.341
009-041  II.Tumores;Total;Todas las edades;2010;107.220
009-041  II.Tumores;Total;Todas las edades;2009;105.132
009-041  II.Tumores;Total;Todas las edades;2008;104.054
009-041  II.Tumores;Total;Todas las edades;2007;103.329
009-041  II.Tumores;Total;Todas las edades;2006;101.683
009-041  II.Tumores;Total;Todas las edades;2005;100.206
009-041  II.Tumores;Total;Todas las edades;2004;100.485
009-041  II.Tumores;Total;Todas las edades;2003;99.826
009-041  II.Tumores;Total;Todas las edades;2002;97.784
009-041  II.Tumores;Total;Todas las edades;2001;97.714
009-041  II.Tumores;Total;Todas las edades;2000;95.072
009-041  II.Tumores;Total;Todas las edades;1999;94.566
009-041  II.Tumores;Total;Todas las edades;1998;92.946
009-041  II.Tumores;Total;Todas las edades;1997;91.515
009-041  II.Tumores;Total;Todas las edades;1996;89.686
009-041  II.Tumores;Total;Todas las edades;1995;89.939
009-041  II.Tumores;Total;Todas las edades;1994;88.138
009-041  II.Tumores;Total;Todas las edades;1993;86.020
009-041  II.Tumores;Total;Todas las edades;1992;83.235
009-041  II.Tumores;Total;Todas las edades;1991;81.567
009-041  II.Tumores;Total;Todas las edades;1990;79.857
009-041  II.Tumores;Total;Todas las edades;1989;77.835
009-041  II.Tumores;Total;Todas las edades;1988;76.369
009-041  II.Tumores;Total;Todas las edades;1987;73.868
009-041  II.Tumores;Total;Todas las edades;1986;70.782
009-041  II.Tumores;Total;Todas las edades;1985;68.869
009-041  II.Tumores;Total;Todas las edades;1984;66.615
009-041  II.Tumores;Total;Todas las edades;1983;63.485
009-041  II.Tumores;Total;Todas las edades;1982;61.508
009-041  II.Tumores;Total;Todas las edades;1981;59.713
009-041  II.Tumores;Total;Todas las edades;1980;58.481
009-041  II.Tumores;Mujeres;Todas las edades;2020;45.494
009-041  II.Tumores;Mujeres;Todas las edades;2019;45.108
009-041  II.Tumores;Mujeres;Todas las edades;2018;44.476
009-041  II.Tumores;Mujeres;Todas las edades;2017;44.758
009-041  II.Tumores;Mujeres;Todas las edades;2016;44.320
009-041  II.Tumores;Mujeres;Todas las edades;2015;43.658
009-041  II.Tumores;Mujeres;Todas las edades;2014;43.000
009-041  II.Tumores;Mujeres;Todas las edades;2013;43.310
009-041  II.Tumores;Mujeres;Todas las edades;2012;42.685
009-041  II.Tumores;Mujeres;Todas las edades;2011;42.350
009-041  II.Tumores;Mujeres;Todas las edades;2010;41.109
009-041  II.Tumores;Mujeres;Todas las edades;2009;40.196
009-041  II.Tumores;Mujeres;Todas las edades;2008;39.696
009-041  II.Tumores;Mujeres;Todas las edades;2007;38.995
009-041  II.Tumores;Mujeres;Todas las edades;2006;38.536
009-041  II.Tumores;Mujeres;Todas las edades;2005;37.542
009-041  II.Tumores;Mujeres;Todas las edades;2004;37.548
009-041  II.Tumores;Mujeres;Todas las edades;2003;37.500
009-041  II.Tumores;Mujeres;Todas las edades;2002;36.678
009-041  II.Tumores;Mujeres;Todas las edades;2001;36.512
009-041  II.Tumores;Mujeres;Todas las edades;2000;35.860
009-041  II.Tumores;Mujeres;Todas las edades;1999;35.338
009-041  II.Tumores;Mujeres;Todas las edades;1998;34.873
009-041  II.Tumores;Mujeres;Todas las edades;1997;34.503
009-041  II.Tumores;Mujeres;Todas las edades;1996;33.979
009-041  II.Tumores;Mujeres;Todas las edades;1995;34.135
009-041  II.Tumores;Mujeres;Todas las edades;1994;33.578
009-041  II.Tumores;Mujeres;Todas las edades;1993;32.813
009-041  II.Tumores;Mujeres;Todas las edades;1992;31.825
009-041  II.Tumores;Mujeres;Todas las edades;1991;31.591
009-041  II.Tumores;Mujeres;Todas las edades;1990;30.968
009-041  II.Tumores;Mujeres;Todas las edades;1989;30.274
009-041  II.Tumores;Mujeres;Todas las edades;1988;30.152
009-041  II.Tumores;Mujeres;Todas las edades;1987;29.262
009-041  II.Tumores;Mujeres;Todas las edades;1986;28.322
009-041  II.Tumores;Mujeres;Todas las edades;1985;27.369
009-041  II.Tumores;Mujeres;Todas las edades;1984;26.695
009-041  II.Tumores;Mujeres;Todas las edades;1983;25.610
009-041  II.Tumores;Mujeres;Todas las edades;1982;25.055
009-041  II.Tumores;Mujeres;Todas las edades;1981;24.370
009-041  II.Tumores;Mujeres;Todas las edades;1980;24.398
009-041  II.Tumores;Hombres;Todas las edades;2020;67.247
009-041  II.Tumores;Hombres;Todas las edades;2019;67.951
009-041  II.Tumores;Hombres;Todas las edades;2018;68.238
009-041  II.Tumores;Hombres;Todas las edades;2017;68.508
009-041  II.Tumores;Hombres;Todas las edades;2016;68.619
009-041  II.Tumores;Hombres;Todas las edades;2015;67.723
009-041  II.Tumores;Hombres;Todas las edades;2014;67.278
009-041  II.Tumores;Hombres;Todas las edades;2013;67.711
009-041  II.Tumores;Hombres;Todas las edades;2012;68.308
009-041  II.Tumores;Hombres;Todas las edades;2011;66.991
009-041  II.Tumores;Hombres;Todas las edades;2010;66.111
009-041  II.Tumores;Hombres;Todas las edades;2009;64.936
009-041  II.Tumores;Hombres;Todas las edades;2008;64.358
009-041  II.Tumores;Hombres;Todas las edades;2007;64.334
009-041  II.Tumores;Hombres;Todas las edades;2006;63.147
009-041  II.Tumores;Hombres;Todas las edades;2005;62.664
009-041  II.Tumores;Hombres;Todas las edades;2004;62.937
009-041  II.Tumores;Hombres;Todas las edades;2003;62.326
009-041  II.Tumores;Hombres;Todas las edades;2002;61.106
009-041  II.Tumores;Hombres;Todas las edades;2001;61.202
009-041  II.Tumores;Hombres;Todas las edades;2000;59.212
009-041  II.Tumores;Hombres;Todas las edades;1999;59.228
009-041  II.Tumores;Hombres;Todas las edades;1998;58.073
009-041  II.Tumores;Hombres;Todas las edades;1997;57.012
009-041  II.Tumores;Hombres;Todas las edades;1996;55.707
009-041  II.Tumores;Hombres;Todas las edades;1995;55.804
009-041  II.Tumores;Hombres;Todas las edades;1994;54.560
009-041  II.Tumores;Hombres;Todas las edades;1993;53.207
009-041  II.Tumores;Hombres;Todas las edades;1992;51.410
009-041  II.Tumores;Hombres;Todas las edades;1991;49.976
009-041  II.Tumores;Hombres;Todas las edades;1990;48.889
009-041  II.Tumores;Hombres;Todas las edades;1989;47.561
009-041  II.Tumores;Hombres;Todas las edades;1988;46.217
009-041  II.Tumores;Hombres;Todas las edades;1987;44.606
009-041  II.Tumores;Hombres;Todas las edades;1986;42.460
009-041  II.Tumores;Hombres;Todas las edades;1985;41.500
009-041  II.Tumores;Hombres;Todas las edades;1984;39.920
009-041  II.Tumores;Hombres;Todas las edades;1983;37.875
009-041  II.Tumores;Hombres;Todas las edades;1982;36.453
009-041  II.Tumores;Hombres;Todas las edades;1981;35.343
009-041  II.Tumores;Hombres;Todas las edades;1980;34.083
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2020;2.062
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2019;2.012
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2018;1.946
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2017;1.973
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2016;1.886
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2015;2.028
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2014;1.784
042-043  III.Enfermedades de la sangre y de los organos hematopoyeticos, y ciertos trastornos que afectan al mecanismo de la inmunidad;Total;Todas las edades;2013;1.639
